name;power_capacity (MW);energy_capacity (MWh)
Nuclear;0;
Lignite;6520;
Hard Coal;11580;
Gas ;5818;
Oil;0;
Others non-renewable;5614;
Hydro - Pondage (Turbine);0;0
Hydro - Run of River (Turbine);367;
Hydro - Reservoir (Turbine);427;750
Hydro - Pump Storage Open Loop (Turbine);216;1310
Hydro - Pump Storage Closed Loop (Turbine);1333;6350
Hydro - Pump Storage Open Loop (Pumping);-172;1310
Hydro - Pump Storage Closed Loop (Pumping);-1486;6350
Wind Onshore;13768;
Wind Offshore;9644;
Solar (Thermal);0;
Solar (Photovoltaic);21663;
Biofuel;728;
Others renewable;2155;
Batteries (Injection);0;0
Batteries (Offtake);0;0
Demand Side Response capacity;0;
Electrolyser;0;
