climatic_year,date,value
2000,1/1/1900 0:00,0
2000,1/1/1900 1:00,0
2000,1/1/1900 2:00,0
2000,1/1/1900 3:00,0
2000,1/1/1900 4:00,0
2000,1/1/1900 5:00,0
2000,1/1/1900 6:00,0
2000,1/1/1900 7:00,0
2000,1/1/1900 8:00,0
2000,1/1/1900 9:00,0
2000,1/1/1900 10:00,0.01
2000,1/1/1900 11:00,0.02
2000,1/1/1900 12:00,0.03
2000,1/1/1900 13:00,0.02
2000,1/1/1900 14:00,0.01
2000,1/1/1900 15:00,0
2000,1/1/1900 16:00,0
2000,1/1/1900 17:00,0
2000,1/1/1900 18:00,0
2000,1/1/1900 19:00,0
2000,1/1/1900 20:00,0
2000,1/1/1900 21:00,0
2000,1/1/1900 22:00,0
2000,1/1/1900 23:00,0
2000,1/2/1900 0:00,0
2000,1/2/1900 1:00,0
2000,1/2/1900 2:00,0
2000,1/2/1900 3:00,0
2000,1/2/1900 4:00,0
2000,1/2/1900 5:00,0
2000,1/2/1900 6:00,0
2000,1/2/1900 7:00,0
2000,1/2/1900 8:00,0
2000,1/2/1900 9:00,0.02
2000,1/2/1900 10:00,0.02
2000,1/2/1900 11:00,0.03
2000,1/2/1900 12:00,0.03
2000,1/2/1900 13:00,0.01
2000,1/2/1900 14:00,0
2000,1/2/1900 15:00,0
2000,1/2/1900 16:00,0
2000,1/2/1900 17:00,0
2000,1/2/1900 18:00,0
2000,1/2/1900 19:00,0
2000,1/2/1900 20:00,0
2000,1/2/1900 21:00,0
2000,1/2/1900 22:00,0
2000,1/2/1900 23:00,0
2000,1/3/1900 0:00,0
2000,1/3/1900 1:00,0
2000,1/3/1900 2:00,0
2000,1/3/1900 3:00,0
2000,1/3/1900 4:00,0
2000,1/3/1900 5:00,0
2000,1/3/1900 6:00,0
2000,1/3/1900 7:00,0
2000,1/3/1900 8:00,0
2000,1/3/1900 9:00,0.01
2000,1/3/1900 10:00,0.02
2000,1/3/1900 11:00,0.03
2000,1/3/1900 12:00,0.02
2000,1/3/1900 13:00,0.01
2000,1/3/1900 14:00,0
2000,1/3/1900 15:00,0
2000,1/3/1900 16:00,0
2000,1/3/1900 17:00,0
2000,1/3/1900 18:00,0
2000,1/3/1900 19:00,0
2000,1/3/1900 20:00,0
2000,1/3/1900 21:00,0
2000,1/3/1900 22:00,0
2000,1/3/1900 23:00,0
2000,1/4/1900 0:00,0
2000,1/4/1900 1:00,0
2000,1/4/1900 2:00,0
2000,1/4/1900 3:00,0
2000,1/4/1900 4:00,0
2000,1/4/1900 5:00,0
2000,1/4/1900 6:00,0
2000,1/4/1900 7:00,0
2000,1/4/1900 8:00,0
2000,1/4/1900 9:00,0.06
2000,1/4/1900 10:00,0.12
2000,1/4/1900 11:00,0.16
2000,1/4/1900 12:00,0.15
2000,1/4/1900 13:00,0.1
2000,1/4/1900 14:00,0.03
2000,1/4/1900 15:00,0
2000,1/4/1900 16:00,0
2000,1/4/1900 17:00,0
2000,1/4/1900 18:00,0
2000,1/4/1900 19:00,0
2000,1/4/1900 20:00,0
2000,1/4/1900 21:00,0
2000,1/4/1900 22:00,0
2000,1/4/1900 23:00,0
2000,1/5/1900 0:00,0
2000,1/5/1900 1:00,0
2000,1/5/1900 2:00,0
2000,1/5/1900 3:00,0
2000,1/5/1900 4:00,0
2000,1/5/1900 5:00,0
2000,1/5/1900 6:00,0
2000,1/5/1900 7:00,0
2000,1/5/1900 8:00,0
2000,1/5/1900 9:00,0.03
2000,1/5/1900 10:00,0.1
2000,1/5/1900 11:00,0.15
2000,1/5/1900 12:00,0.14
2000,1/5/1900 13:00,0.08
2000,1/5/1900 14:00,0.02
