name;power_capacity (MW);energy_capacity (MWh)
Nuclear;0;
Lignite;14687;
Hard Coal;12786;
Gas ;32541;
Oil;2821;
Others non-renewable;9080;
Hydro - Pondage (Turbine);0;0
Hydro - Run of River (Turbine);3934;
Hydro - Reservoir (Turbine);819;237217
Hydro - Pump Storage Open Loop (Turbine);2144;438159
Hydro - Pump Storage Closed Loop (Turbine);6410;276150
Hydro - Pump Storage Open Loop (Pumping);-1861;438159
Hydro - Pump Storage Closed Loop (Pumping);-6562;276150
Wind Onshore;69017;
Wind Offshore;11105;
Solar (Thermal);0;
Solar (Photovoltaic);88448;
Biofuel;0;
Others renewable;11057;
Batteries (Injection);2189;6228
Batteries (Offtake);2189;6228
Demand Side Response capacity;959;
Electrolyser;-665;
