name;power_capacity (MW);energy_capacity (MWh)
Nuclear;7117;
Lignite;0;
Hard Coal;562;
Gas ;3829;
Oil;0;
Others non-renewable;5018;
Hydro - Pondage (Turbine);266;3700
Hydro - Run of River (Turbine);3679;
Hydro - Reservoir (Turbine);15180;16064673
Hydro - Pump Storage Open Loop (Turbine);6523;7765760
Hydro - Pump Storage Closed Loop (Turbine);3331;95435
Hydro - Pump Storage Open Loop (Pumping);-6010;7765760
Hydro - Pump Storage Closed Loop (Pumping);-3141;95435
Wind Onshore;41217;
Wind Offshore;88;
Solar (Thermal);2364;
Solar (Photovoltaic);40177;
Biofuel;0;
Others renewable;2033;
Batteries (Injection);100;200
Batteries (Offtake);100;200
Demand Side Response capacity;500;
Electrolyser;-1050;
