datetime_UTC,resolutioncode,mapcode,storedenergy,storedenergy_endofweek,storedenergy_delta,actualgenerationoutput,inflows_temp,inflows_MWh,inflows_MW
2014-12-08 00:00:00+00:00,,,,,,,,,
2014-12-15 00:00:00+00:00,P7D,FR,2761903.0,2766707.0,4804.0,56839.0,61643.0,61643.0,366.92261904761904
2014-12-22 00:00:00+00:00,P7D,FR,2766707.0,2737368.0,-29339.0,428610.0,399271.0,399271.0,2376.6130952380954
2014-12-29 00:00:00+00:00,P7D,FR,2737368.0,2648112.0,-89256.0,346043.0,256787.0,256787.0,1528.4940476190477
2015-01-05 00:00:00+00:00,P7D,FR,2648112.0,2622624.0,-25488.0,442635.0,417147.0,417147.0,2483.0178571428573
2015-01-12 00:00:00+00:00,P7D,FR,2622624.0,2456362.0,-166262.0,404306.0,238044.0,238044.0,1416.9285714285713
2015-01-19 00:00:00+00:00,P7D,FR,2456362.0,2289749.0,-166613.0,502011.0,335398.0,335398.0,1996.4166666666667
2015-01-26 00:00:00+00:00,P7D,FR,2289749.0,2121193.0,-168556.0,596740.0,428184.0,428184.0,2548.714285714286
2015-02-02 00:00:00+00:00,P7D,FR,2121193.0,1832396.0,-288797.0,517309.0,228512.0,228512.0,1360.1904761904761
2015-02-09 00:00:00+00:00,P7D,FR,1832396.0,1642339.0,-190057.0,740115.0,550058.0,550058.0,3274.154761904762
2015-02-16 00:00:00+00:00,P7D,FR,1642339.0,1498497.0,-143842.0,573306.0,429464.0,429464.0,2556.3333333333335
2015-02-23 00:00:00+00:00,P7D,FR,1498497.0,1632116.0,133619.0,526088.0,659707.0,659707.0,3926.8273809523807
2015-03-02 00:00:00+00:00,P7D,FR,1632116.0,1314307.0,-317809.0,482206.0,164397.0,164397.0,978.5535714285714
2015-03-09 00:00:00+00:00,P7D,FR,1314307.0,1211849.0,-102458.0,486963.0,384505.0,384505.0,2288.720238095238
2015-03-16 00:00:00+00:00,P7D,FR,1211849.0,1111858.0,-99991.0,430238.0,330247.0,330247.0,1965.7559523809523
2015-03-23 00:00:00+00:00,P7D,FR,1111858.0,1112498.0,640.0,371711.0,372351.0,372351.0,2216.375
2015-03-30 00:00:00+00:00,P7D,FR,1112498.0,1120162.0,7664.0,291122.0,298786.0,298786.0,1778.4880952380952
2015-04-06 00:00:00+00:00,P7D,FR,1120162.0,1134908.0,14746.0,279179.0,293925.0,293925.0,1749.5535714285713
2015-04-13 00:00:00+00:00,P7D,FR,1134908.0,1191820.0,56912.0,236920.0,293832.0,293832.0,1749.0
2015-04-20 00:00:00+00:00,P7D,FR,1191820.0,1254809.0,62989.0,259827.0,322816.0,322816.0,1921.5238095238096
2015-04-27 00:00:00+00:00,P7D,FR,1254809.0,1518660.0,263851.0,222371.0,486222.0,486222.0,2894.1785714285716
2015-05-04 00:00:00+00:00,P7D,FR,1518660.0,1720675.0,202015.0,299898.0,501913.0,501913.0,2987.5773809523807
2015-05-11 00:00:00+00:00,P7D,FR,1720675.0,1917460.0,196785.0,307221.0,504006.0,504006.0,3000.035714285714
2015-05-18 00:00:00+00:00,P7D,FR,1917460.0,1916174.0,-1286.0,287618.0,286332.0,286332.0,1704.357142857143
2015-05-25 00:00:00+00:00,P7D,FR,1916174.0,2052323.0,136149.0,301996.0,438145.0,438145.0,2608.0059523809523
2015-06-01 00:00:00+00:00,P7D,FR,2052323.0,2229232.0,176909.0,282342.0,459251.0,459251.0,2733.6369047619046
2015-06-08 00:00:00+00:00,P7D,FR,2229232.0,2405020.0,175788.0,265227.0,441015.0,441015.0,2625.089285714286
2015-06-15 00:00:00+00:00,P7D,FR,2405020.0,2498453.0,93433.0,325407.0,418840.0,418840.0,2493.095238095238
2015-06-22 00:00:00+00:00,P7D,FR,2498453.0,2492731.0,-5722.0,360791.0,355069.0,355069.0,2113.5059523809523
2015-06-29 00:00:00+00:00,P7D,FR,2492731.0,2532015.0,39284.0,320505.0,359789.0,359789.0,2141.6011904761904
2015-07-06 00:00:00+00:00,P7D,FR,2532015.0,2555627.0,23612.0,274039.0,297651.0,297651.0,1771.732142857143
2015-07-13 00:00:00+00:00,P7D,FR,2555627.0,2543616.0,-12011.0,232451.0,220440.0,220440.0,1312.142857142857
2015-07-20 00:00:00+00:00,P7D,FR,2543616.0,2573500.0,29884.0,234095.0,263979.0,263979.0,1571.3035714285713
2015-07-27 00:00:00+00:00,P7D,FR,2573500.0,2610486.0,36986.0,171039.0,208025.0,208025.0,1238.2440476190477
2015-08-03 00:00:00+00:00,P7D,FR,2610486.0,2638154.0,27668.0,143601.0,171269.0,171269.0,1019.4583333333334
2015-08-10 00:00:00+00:00,P7D,FR,2638154.0,2683473.0,45319.0,171979.0,217298.0,217298.0,1293.4404761904761
2015-08-17 00:00:00+00:00,P7D,FR,2683473.0,2707234.0,23761.0,139122.0,162883.0,162883.0,969.5416666666666
2015-08-24 00:00:00+00:00,P7D,FR,2707234.0,2670356.0,-36878.0,141146.0,104268.0,104268.0,620.6428571428571
2015-08-31 00:00:00+00:00,P7D,FR,2670356.0,2656060.0,-14296.0,224352.0,210056.0,210056.0,1250.3333333333333
2015-09-07 00:00:00+00:00,P7D,FR,2656060.0,2653075.0,-2985.0,203931.0,200946.0,200946.0,1196.107142857143
2015-09-14 00:00:00+00:00,P7D,FR,2653075.0,2680678.0,27603.0,231806.0,259409.0,259409.0,1544.1011904761904
